Category,Subcategory,Value,Quantity,Date,Score,Group,X,Y
C,Gamma,61,8,2024-02-22,50,G3,26.59,97.31
A,Gamma,71,5,2024-02-29,82,G2,36.03,60.19
C,Gamma,67,9,2024-04-17,89,G3,25.99,22.38
C,Alpha,61,8,2024-01-05,59,G1,45.32,82.18
A,Gamma,21,12,2024-04-12,92,G2,3.23,34.51
A,Gamma,48,12,2024-07-14,93,G2,27.98,34.76
C,Alpha,11,11,2024-09-18,78,G1,41.12,3.18
B,Gamma,12,7,2024-12-30,62,G1,60.28,54.87
C,Alpha,65,5,2024-12-15,61,G2,27.1,53.44
C,Beta,90,5,2024-02-16,80,G3,13.32,35.6
C,Gamma,68,7,2024-12-20,95,G2,7.62,89.42
C,Beta,11,10,2024-11-06,51,G1,94.05,12.87
A,Alpha,11,11,2024-11-03,99,G2,41.66,33.01
C,Gamma,63,10,2024-05-23,84,G1,58.12,32.16
B,Alpha,96,10,2024-09-25,72,G2,91.92,9.23
A,Beta,10,10,2024-05-03,66,G3,8.27,48.11
B,Alpha,28,7,2024-04-15,75,G2,87.67,68.78
B,Gamma,11,10,2024-06-06,57,G2,55.16,51.17
B,Gamma,62,12,2024-05-26,78,G1,16.48,15.7
B,Beta,53,6,2024-05-24,75,G1,41.13,37.73
A,Alpha,99,9,2024-04-29,59,G1,77.76,0.26
A,Gamma,41,5,2024-11-14,75,G2,48.04,86.83
B,Beta,79,5,2024-10-01,83,G3,98.53,8.45
B,Gamma,41,9,2024-04-01,90,G1,37.67,59.73
A,Gamma,77,7,2024-02-27,56,G1,74.96,98.63
A,Alpha,64,8,2024-12-11,53,G2,39.3,53.66
A,Gamma,84,7,2024-08-16,99,G1,82.92,92.4
C,Alpha,65,5,2024-04-26,94,G3,56.91,23.61
C,Gamma,26,5,2024-11-13,60,G3,6.35,76.0
C,Beta,47,9,2024-10-05,78,G1,3.68,53.13
B,Gamma,33,10,2024-05-06,85,G1,13.39,72.05
C,Alpha,78,7,2024-05-08,74,G2,1.37,6.23
B,Alpha,79,13,2024-02-27,70,G3,7.54,14.77
B,Beta,95,9,2024-05-01,85,G3,69.17,13.31
C,Gamma,20,12,2024-01-01,59,G1,53.43,68.72
B,Gamma,25,5,2024-08-26,86,G2,74.99,84.44
C,Beta,82,9,2024-10-16,58,G3,91.32,74.96
C,Gamma,68,7,2024-04-05,73,G3,58.51,3.05
A,Gamma,79,5,2024-05-05,84,G2,72.61,86.72
C,Alpha,89,8,2024-04-27,98,G2,75.71,35.41
A,Gamma,12,9,2024-02-17,84,G3,37.79,39.72
C,Gamma,29,11,2024-03-29,97,G3,24.11,10.49
C,Beta,68,5,2024-08-24,85,G2,20.5,73.74
A,Beta,45,7,2024-09-28,67,G3,25.14,18.23
A,Alpha,28,6,2024-07-07,98,G1,27.47,56.4
C,Gamma,99,13,2024-07-10,88,G1,20.72,84.07
B,Gamma,76,14,2024-03-09,81,G2,87.82,8.92
A,Gamma,28,10,2024-10-04,73,G2,75.7,53.53
B,Alpha,29,14,2024-12-14,72,G2,4.69,23.32
B,Alpha,80,7,2024-09-03,81,G1,26.87,34.29
B,Beta,61,12,2024-03-16,86,G3,2.22,47.4
A,Alpha,42,12,2024-06-02,61,G1,49.82,35.51
B,Gamma,49,6,2024-05-23,98,G3,47.62,64.88
A,Gamma,48,10,2024-03-26,62,G1,83.14,47.96
B,Alpha,91,11,2024-07-03,72,G3,30.78,58.42
C,Gamma,10,6,2024-10-11,74,G1,81.64,73.68
C,Gamma,20,14,2024-08-07,84,G2,96.8,55.77
A,Alpha,66,6,2024-03-09,90,G1,8.84,58.65
C,Alpha,98,14,2024-02-16,79,G3,79.18,56.45
C,Gamma,59,5,2024-04-03,66,G1,59.0,37.88
B,Gamma,32,12,2024-08-25,98,G1,48.0,33.74
A,Gamma,40,5,2024-07-22,69,G1,42.05,89.96
B,Beta,51,13,2024-08-05,97,G2,78.47,60.76
B,Beta,16,10,2024-12-06,74,G1,63.94,24.44
B,Beta,25,11,2024-02-08,71,G2,80.5,49.82
B,Alpha,99,14,2024-04-09,62,G2,90.32,33.03
B,Beta,69,11,2024-10-15,68,G1,61.73,93.37
B,Alpha,11,14,2024-09-10,98,G1,98.05,0.75
B,Alpha,10,7,2024-08-09,85,G1,60.81,22.53
A,Beta,57,6,2024-12-22,61,G3,63.66,36.54
C,Beta,21,13,2024-01-23,90,G1,55.48,48.78
B,Beta,78,12,2024-09-06,68,G2,9.1,85.08
B,Gamma,46,14,2024-01-10,61,G1,72.64,8.79
B,Beta,41,11,2024-09-02,58,G3,54.74,80.59
B,Gamma,18,13,2024-11-20,56,G1,45.09,5.57
B,Alpha,28,8,2024-04-09,77,G3,91.05,84.23
B,Gamma,57,8,2024-10-16,63,G3,29.8,5.16
C,Beta,89,5,2024-06-28,80,G1,52.36,1.82
C,Alpha,12,12,2024-08-10,68,G2,69.76,69.7
B,Alpha,29,7,2024-09-06,96,G3,79.65,99.73
C,Alpha,33,11,2024-05-26,65,G1,45.93,89.66
A,Gamma,63,6,2024-04-05,54,G1,84.21,57.6
B,Beta,42,6,2024-09-13,84,G2,76.89,91.74
A,Alpha,33,11,2024-11-20,61,G3,6.62,0.53
A,Alpha,84,10,2024-01-04,74,G3,4.59,97.51
B,Alpha,81,7,2024-01-16,70,G1,62.08,49.07
C,Gamma,45,13,2024-10-06,85,G1,34.74,72.29
A,Gamma,47,14,2024-12-01,72,G2,20.91,82.09
B,Beta,93,10,2024-09-03,65,G2,57.96,71.85
A,Gamma,98,14,2024-09-14,88,G3,34.16,53.5
A,Alpha,34,14,2024-06-08,94,G3,53.73,47.66
A,Beta,27,10,2024-12-05,91,G1,46.01,83.86
A,Alpha,91,5,2024-05-31,88,G3,58.48,20.51
C,Alpha,75,8,2024-06-26,63,G2,40.03,96.8
A,Gamma,63,14,2024-06-11,80,G2,69.77,71.1
A,Beta,44,10,2024-02-02,54,G1,18.01,19.95
A,Gamma,89,10,2024-06-27,84,G2,69.65,73.62
C,Gamma,70,9,2024-04-10,72,G2,41.17,52.98
A,Beta,50,5,2024-09-24,78,G2,87.43,70.72
A,Alpha,42,12,2024-11-18,92,G2,51.52,76.78
